ID,Nombre,Pais,Sexo,Edad
BA2-01,Aarón Ramirez,Morocco,M,20
BA2-02,Juan Bocacalle,marocco,M,23
BA2-03,Marina Ruana,Nepal,F,44
BA2-04,Carl Sorlovsky,Netherlands,M,50
BA2-05,Mariano Hernandez,holand,M,78
BA2-06,Carla,Norway,F,10
BA2-07,John Buffalo,romania (stateless),,30
BA2-08,Ariana McGee,Rwanda,,
BA2-09,Alina Alvez,siera leone,F,
BA2-10,Inés Martinez,slovenia,F,42
BA2-11,Pilar Ramirez,shri lanka,F,40
BA2-12,Franco Landro,tunesia,M,32
BA2-13,Carlos Bianchi,Yemen,,25
BA2-14,Esteban Quito,Seychelles,,18
BA2-15,Rocco Kaufman,Switzerland,M,18
BA2-16,Ramiro Crocci,Siria,M,20
BA2-17,Ariel Corrado,Taiwan,,22
BA2-18,Luna Valdora,Uganda,F,
BA2-19,Manuel Einstein,United Republic of Tanzania,M,15
BA2-20,Juan Rosales,zambia,M,19
BA2-21,Stefania Roca,slovenia,,
BA2-22,Ramon Dekkers,shri lanka,22,M
BA2-23,Ringo Bonavena,tunesia,33,M
BA2-24,Juana Morales,Yemen,44,F
BA2-25,Esteban Quito,Seychelles,9,M
